Epoch: 95 | lr:0.0001000 | Loss: 0.0512 | topview Loss: 0.1989 | transform_topview Loss: 0.2102 | transform Loss: 0.8777
Epoch: 95 | Validation: mIOU: 17.24 % mAP: 28.31 %
Epoch: 96 | lr:0.0001000 | Loss: 0.0364 | topview Loss: 0.1405 | transform_topview Loss: 0.1499 | transform Loss: 0.8776
Epoch: 97 | lr:0.0001000 | Loss: 0.0314 | topview Loss: 0.1189 | transform_topview Loss: 0.1314 | transform Loss: 0.8776
Epoch: 98 | lr:0.0001000 | Loss: 0.0275 | topview Loss: 0.1023 | transform_topview Loss: 0.1170 | transform Loss: 0.8776
Epoch: 99 | lr:0.0001000 | Loss: 0.0248 | topview Loss: 0.0897 | transform_topview Loss: 0.1082 | transform Loss: 0.8776
Epoch: 100 | lr:0.0001000 | Loss: 0.0226 | topview Loss: 0.0803 | transform_topview Loss: 0.0993 | transform Loss: 0.8776
Epoch: 100 | Validation: mIOU: 20.87 % mAP: 34.53 %
Epoch: 101 | lr:0.0001000 | Loss: 0.0209 | topview Loss: 0.0736 | transform_topview Loss: 0.0924 | transform Loss: 0.8776
Epoch: 102 | lr:0.0001000 | Loss: 0.0198 | topview Loss: 0.0681 | transform_topview Loss: 0.0895 | transform Loss: 0.8776
Epoch: 103 | lr:0.0001000 | Loss: 0.0192 | topview Loss: 0.0642 | transform_topview Loss: 0.0886 | transform Loss: 0.8776
Epoch: 104 | lr:0.0001000 | Loss: 0.0182 | topview Loss: 0.0611 | transform_topview Loss: 0.0838 | transform Loss: 0.8777
Epoch: 105 | lr:0.0001000 | Loss: 0.0175 | topview Loss: 0.0594 | transform_topview Loss: 0.0798 | transform Loss: 0.8776
Epoch: 105 | Validation: mIOU: 27.03 % mAP: 40.83 %
Epoch: 106 | lr:0.0001000 | Loss: 0.0171 | topview Loss: 0.0562 | transform_topview Loss: 0.0794 | transform Loss: 0.8776
Epoch: 107 | lr:0.0001000 | Loss: 0.0161 | topview Loss: 0.0526 | transform_topview Loss: 0.0757 | transform Loss: 0.8776
Epoch: 108 | lr:0.0001000 | Loss: 0.0156 | topview Loss: 0.0510 | transform_topview Loss: 0.0729 | transform Loss: 0.8777
Epoch: 109 | lr:0.0001000 | Loss: 0.0162 | topview Loss: 0.0522 | transform_topview Loss: 0.0765 | transform Loss: 0.8777
Epoch: 110 | lr:0.0001000 | Loss: 0.0150 | topview Loss: 0.0482 | transform_topview Loss: 0.0706 | transform Loss: 0.8776
Epoch: 110 | Validation: mIOU: 29.72 % mAP: 43.13 %
Epoch: 111 | lr:0.0001000 | Loss: 0.0148 | topview Loss: 0.0468 | transform_topview Loss: 0.0706 | transform Loss: 0.8777
Epoch: 112 | lr:0.0001000 | Loss: 0.0147 | topview Loss: 0.0452 | transform_topview Loss: 0.0719 | transform Loss: 0.8777
Epoch: 113 | lr:0.0001000 | Loss: 0.0142 | topview Loss: 0.0455 | transform_topview Loss: 0.0672 | transform Loss: 0.8776
Epoch: 114 | lr:0.0001000 | Loss: 0.0141 | topview Loss: 0.0430 | transform_topview Loss: 0.0690 | transform Loss: 0.8775
Epoch: 115 | lr:0.0001000 | Loss: 0.0138 | topview Loss: 0.0412 | transform_topview Loss: 0.0684 | transform Loss: 0.8777
Epoch: 115 | Validation: mIOU: 34.09 % mAP: 45.48 %
Epoch: 116 | lr:0.0001000 | Loss: 0.0134 | topview Loss: 0.0417 | transform_topview Loss: 0.0649 | transform Loss: 0.8777
Epoch: 117 | lr:0.0001000 | Loss: 0.0138 | topview Loss: 0.0401 | transform_topview Loss: 0.0694 | transform Loss: 0.8776
Epoch: 118 | lr:0.0001000 | Loss: 0.0133 | topview Loss: 0.0378 | transform_topview Loss: 0.0674 | transform Loss: 0.8776
Epoch: 119 | lr:0.0001000 | Loss: 0.0132 | topview Loss: 0.0391 | transform_topview Loss: 0.0653 | transform Loss: 0.8776
Epoch: 120 | lr:0.0001000 | Loss: 0.0127 | topview Loss: 0.0390 | transform_topview Loss: 0.0617 | transform Loss: 0.8775
Epoch: 120 | Validation: mIOU: 33.01 % mAP: 46.58 %
Epoch: 121 | lr:0.0001000 | Loss: 0.0127 | topview Loss: 0.0369 | transform_topview Loss: 0.0636 | transform Loss: 0.8776
