Epoch: 135 | Validation: mIOU: 62.24 % mAP: 62.95 %
Epoch: 136 | lr:0.0001000 | Loss: 0.0108 | topview Loss: 0.0322 | transform_topview Loss: 0.0534 | transform Loss: 0.8928
Epoch: 137 | lr:0.0001000 | Loss: 0.0108 | topview Loss: 0.0339 | transform_topview Loss: 0.0513 | transform Loss: 0.8928
Epoch: 138 | lr:0.0001000 | Loss: 0.0106 | topview Loss: 0.0311 | transform_topview Loss: 0.0528 | transform Loss: 0.8928
Epoch: 139 | lr:0.0001000 | Loss: 0.0109 | topview Loss: 0.0300 | transform_topview Loss: 0.0562 | transform Loss: 0.8928
Epoch: 140 | lr:0.0001000 | Loss: 0.0101 | topview Loss: 0.0293 | transform_topview Loss: 0.0508 | transform Loss: 0.8928
Epoch: 140 | Validation: mIOU: 63.84 % mAP: 64.62 %
Epoch: 141 | lr:0.0001000 | Loss: 0.0104 | topview Loss: 0.0301 | transform_topview Loss: 0.0519 | transform Loss: 0.8928
Epoch: 142 | lr:0.0001000 | Loss: 0.0100 | topview Loss: 0.0281 | transform_topview Loss: 0.0514 | transform Loss: 0.8928
Epoch: 143 | lr:0.0001000 | Loss: 0.0101 | topview Loss: 0.0278 | transform_topview Loss: 0.0522 | transform Loss: 0.8928
Epoch: 144 | lr:0.0001000 | Loss: 0.0099 | topview Loss: 0.0288 | transform_topview Loss: 0.0496 | transform Loss: 0.8928
Epoch: 145 | lr:0.0001000 | Loss: 0.0100 | topview Loss: 0.0295 | transform_topview Loss: 0.0495 | transform Loss: 0.8928
Epoch: 145 | Validation: mIOU: 61.89 % mAP: 62.78 %
Epoch: 146 | lr:0.0001000 | Loss: 0.0116 | topview Loss: 0.0379 | transform_topview Loss: 0.0538 | transform Loss: 0.8928
Epoch: 147 | lr:0.0001000 | Loss: 0.0099 | topview Loss: 0.0312 | transform_topview Loss: 0.0472 | transform Loss: 0.8928
Epoch: 148 | lr:0.0001000 | Loss: 0.0100 | topview Loss: 0.0283 | transform_topview Loss: 0.0505 | transform Loss: 0.8928
